item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
7,3,P102,pod,78.63,623.9323489,1042.113647,460,ɑ,AA,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
10,3,P102,bet,85.18,508.2824576,1686.660818,350,ɛ,EH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
6,3,P102,bot,83.11,658.7650308,1300.807006,350,ɑ,AA,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
19,3,P102,pid,78.76,434.311346,1820.550549,280,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
13,1,P102,bead,77.45,250.8148318,2313.682881,520,i,IY,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
13,2,P102,bead,76.91,276.5117499,2342.747516,330,i,IY,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
27,1,P102,pooed,79.24,319.1194934,1281.614243,370,u,UW,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
24,1,P102,pode,78.59,459.5682784,1060.880818,380,o,OW,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
26,1,P102,boot,78.79,321.8994802,1304.171546,570,u,UW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
25,1,P102,booed,78.02,347.4520964,1395.044848,460,u,UW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
22,1,P102,bode,78.63,433.2237215,1131.552707,390,o,OW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
23,1,P102,poat,76.58,355.7399483,1001.681402,390,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
24,2,P102,pode,76.45,407.0897939,1046.883474,380,o,OW,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
15,1,P102,peat,77.13,262.2660958,2431.614325,370,i,IY,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
26,2,P102,boot,79.07,374.0702972,1574.584965,480,u,UW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
28,1,P102,poot,78.3,303.782053,1366.842213,340,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
15,2,P102,peat,77.76,249.1142751,2431.923709,420,i,IY,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
27,2,P102,pooed,75.58,318.1499722,1245.881536,380,u,UW,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
22,2,P102,bode,102.42,514.3688653,1332.107179,580,o,OW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
21,1,P102,boat,76.88,900.8353007,1878.968665,370,o,OW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
28,2,P102,poot,80.76,304.7504353,1399.615589,370,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
16,1,P102,peed,77.03,272.9494385,2420.164696,430,i,IY,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
16,2,P102,peed,77.09,278.6041293,2502.278352,500,i,IY,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
28,3,P102,poot,76.71,335.3308363,1280.338375,490,u,UW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
23,2,P102,poat,77.82,464.8028034,1226.113706,500,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
22,3,P102,bode,78.34,452.9467402,1146.320721,390,o,OW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
21,2,P102,boat,76.36,370.1419796,1187.364599,360,o,OW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
25,2,P102,booed,79.39,317.6757622,1436.200279,490,u,UW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
14,1,P102,beat,77.71,260.7151112,2450.187919,340,i,IY,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
13,3,P102,bead,77.04,286.3507962,2567.022754,370,i,IY,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
14,2,P102,beat,82.16,257.7115499,2357.627176,330,i,IY,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
24,3,P102,pode,76.32,452.4929069,1110.483292,400,o,OW,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
14,3,P102,beat,86.57,281.4642804,2389.025257,450,i,IY,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
25,3,P102,booed,76.26,306.7705974,1249.926596,340,u,UW,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
27,3,P102,pooed,80.75,333.0226546,1384.619963,350,u,UW,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
26,3,P102,boot,78.4,304.2577561,2065.463069,330,u,UW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
16,3,P102,peed,77.74,269.8001282,2501.169265,480,i,IY,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
23,3,P102,poat,78.3,428.7071289,1116.88932,380,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
15,3,P102,peat,78.12,282.1767574,2384.281395,350,i,IY,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
21,3,P102,boat,76.49,432.5445806,993.7795122,310,o,OW,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
